,Drink Type,Drink Type Link,Coffee Name,Coffee Url,Ingredients
0, Hot Coffees ,/menu/drinks/hot-coffees,Caffè Americano,/menu/product/406/hot,Ingredients
1, Hot Coffees ,/menu/drinks/hot-coffees,Veranda Blend®,/menu/product/873068625/hot,Ingredients
2, Hot Coffees ,/menu/drinks/hot-coffees,Caffè Misto,/menu/product/478/hot,Ingredients
3, Hot Coffees ,/menu/drinks/hot-coffees,Featured Starbucks® Dark Roast Coffee,/menu/product/479/hot,Ingredients
4, Hot Coffees ,/menu/drinks/hot-coffees,Featured Medium Roast - Pike Place® Roast,/menu/product/480/hot,Ingredients
5, Hot Coffees ,/menu/drinks/hot-coffees,Decaf Pike Place® Roast,/menu/product/481/hot,Ingredients
6, Hot Coffees ,/menu/drinks/hot-coffees,Cappuccino,/menu/product/409/hot,Ingredients
7, Hot Coffees ,/menu/drinks/hot-coffees,Espresso,/menu/product/410/hot,Ingredients
8, Hot Coffees ,/menu/drinks/hot-coffees,Espresso Con Panna,/menu/product/411/hot,Ingredients
9, Hot Coffees ,/menu/drinks/hot-coffees,Flat White,/menu/product/565/hot,Ingredients
10, Hot Coffees ,/menu/drinks/hot-coffees,Honey Almondmilk Flat White,/menu/product/2123158/hot,Ingredients
11, Hot Coffees ,/menu/drinks/hot-coffees,Pumpkin Spice Latte,/menu/product/418/hot,Ingredients
12, Hot Coffees ,/menu/drinks/hot-coffees,Caramel Brulée Latte,/menu/product/517/hot,Ingredients
13, Hot Coffees ,/menu/drinks/hot-coffees,Chestnut Praline Latte,/menu/product/873068661/hot,Ingredients
14, Hot Coffees ,/menu/drinks/hot-coffees,Sugar Cookie Almondmilk Latte,/menu/product/2123591/hot,Ingredients
15, Hot Coffees ,/menu/drinks/hot-coffees,Caffè Latte,/menu/product/407/hot,Ingredients
16, Hot Coffees ,/menu/drinks/hot-coffees,Cinnamon Dolce Latte,/menu/product/414/hot,Ingredients
17, Hot Coffees ,/menu/drinks/hot-coffees,Starbucks Reserve® Latte,/menu/product/2122614/hot,Ingredients
18, Hot Coffees ,/menu/drinks/hot-coffees,Starbucks Reserve® Hazelnut Bianco Latte,/menu/product/2122617/hot,Ingredients
19, Hot Coffees ,/menu/drinks/hot-coffees,Starbucks® Blonde Vanilla Latte,/menu/product/2122164/hot,Ingredients
20, Hot Coffees ,/menu/drinks/hot-coffees,Apple Crisp Oatmilk Macchiato,/menu/product/2123563/hot,Ingredients
21, Hot Coffees ,/menu/drinks/hot-coffees,Caramel Macchiato,/menu/product/413/hot,Ingredients
22, Hot Coffees ,/menu/drinks/hot-coffees,Espresso Macchiato,/menu/product/412/hot,Ingredients
23, Hot Coffees ,/menu/drinks/hot-coffees,Peppermint Mocha,/menu/product/496/hot,Ingredients
24, Hot Coffees ,/menu/drinks/hot-coffees,Peppermint White Chocolate Mocha,/menu/product/497/hot,Ingredients
25, Hot Coffees ,/menu/drinks/hot-coffees,Toasted White Chocolate Mocha,/menu/product/2122482/hot,Ingredients
